Country Name,Country Code,Lifeexpectancy,Agriculturaland,Children_out_of_school_primary ,Fertility_rate,GDP,GDP_per_capita,High-technology_exports,Household_final_consumption,Individuals_using_the_Internet,Labor_force,Population
Saudi Arabia,SAU,74.5744878,1736472,81108,2.579,651757333333,20653.24205,276022477,263681841627,69.6162358,12991605,31557144
Senegal,SEN,66.66143902,88680,649942,4.84,13640668374,910.7747772,27132070,10300193509,21.69026413,4855249,14976994
Serbia,SRB,75.48780488,34685,2187,1.46,37160332465,5237.255334,292333396,27751397372,65.3170254,3075185,7095383
Seychelles,SYC,73.22926829,15.5,397,2.3,1437722206,15390.04064,1229820,718486071.3,54.25961786,,93419
Sierra Leone,SLE,51.41285366,39490,6648,4.561,4251869870,587.5162611,35094,4349026102,6.344421603,2411915,7237025
Singapore,SGP,82.59512195,6.6,,1.24,296840704102,53629.73746,130988629328,109298516148,79.012957,3222374,5535002
Sint Maarten (Dutch part),SXM,,,,,,,,,,,38824
Slovak Republic,SVK,77.21219512,19216,,1.37,87501423882,16132.86031,6878304957,47957551402,77.6347,2738598,5423801
Slovenia,SVN,81.07804878,6166.3,,1.58,43072415017,20873.16111,1427285488,23037202738,73.0987,1009657,2063531
Small states,SST,68.57721416,856605.8,,2.931207054,448061495601,11504.32342,,195193946684,43.89623664,17145290,38937987
Solomon Islands,SLB,70.47668293,1080,26854,3.907,1129164719,1922.041388,193415,,10.00046498,254107,587482
Somalia,SOM,55.87285366,441250,,6.365,5925000000,426.0098537,,7836000000,1.76,3414697,13908129
South Africa,ZAF,61.93409756,968410,,2.485,317610719411,5744.324157,1960691751,189040680120,51.91911572,21241022,55011976.68
South Asia,SAS,68.48545298,2704717.1,,2.491493284,2682804385971,1538.35115,,1661415418941,23.18890086,669026828,1744190704
South Asia (IDA & IBRD),TSA,68.48545298,2704717.1,,2.491493284,2682804385971,1538.35115,,1661415418941,23.18890086,669026828,1744190704
South Sudan,SSD,56.30258537,285332,1370840,4.938,9015221096,758.7205782,,9084902217,5.5,4983183,11882136
Spain,ESP,83.3804878,262660,14421,1.32,1197789902774,25789.51955,14240904065,694647340786,78.6896,23058550,46447697
Sri Lanka,LKA,74.98895122,27400,16067,2.063,80611989527,3891.659451,59295119,56508951698,29.98873755,8519529,20966000
St. Kitts and Nevis,KNA,,60,1299,,878281507.8,16178.18869,,,75.7,,54288
St. Lucia,LCA,75.2835122,106,,1.471,1649142630,9306.358868,,1136652444,42.53093047,96719,177206
St. Martin (French part),MAF,79.47073171,,,1.81,,,,,,,31754
St. Vincent and the Grenadines,VCT,73.06495122,100,163,1.953,755205755.9,6899.691708,472716,,51.77,57423,109455
Sub-Saharan Africa,SSF,59.90182611,10247646.1,,4.919645147,1606985506039,1597.639238,,1144664168548,17.75563834,390924477,1005570801
Sub-Saharan Africa (excluding high income),SSA,59.90058785,10247630.6,,4.919913766,1605546772069,1596.357135,,1143948469160,17.75216968,390924477,1005477382
Sub-Saharan Africa (IDA & IBRD countries),TSS,59.90182611,10247646.1,,4.919645147,1606985506039,1597.639238,,1144664168548,17.75563834,390924477,1005570801
Sudan,SDN,64.22941463,681861.6,,4.595,97156119150,2513.884661,978796,72586377667,26.61492855,10559338,38647803
Suriname,SUR,71.28619512,882,3125,2.396,4826587058,8724.723897,,1626799799,42.76382778,216594,553208
Swaziland,SWZ,56.91236585,12220,,3.141,4020275298,3047.946756,,2928096395,25.64304231,442140,1319011
Sweden,SWE,82.55121951,30398,2391,1.88,497918109302,50812.19086,14951672746,223964036468,90.6102,5182100,9799186
Switzerland,CHE,83.19756098,15088,1776,1.54,679289166858,82016.02131,53257659389,362876112241,87.4790556,4814298,8282396
Syrian Arab Republic,SYR,70.25265854,139210,,2.966,,,,,29.97979724,4823362,18734987
Tajikistan,TJK,71.00712195,47450,13130,3.404,7853450374,918.6771543,,6375930944,18.98,3282834,8548651
Tanzania,TZA,64.90331707,396500,,5.079,45628320606,872.2954949,8771922,27595368263,10,24618499,53879957
Thailand,THA,75.068,221100,454421,1.498,399234547137,5814.863134,34543515383,205119905862,39.31612674,38889149,68657600
Timor-Leste,TLS,68.58002439,3800,5310,5.618,1606500000,1294.54454,,953300000,23,272590,1240977
Togo,TGO,59.92370732,38200,29500,4.517,4087628276,551.1308346,1192704,3298207032,7.12,3346080,7416802
Tonga,TON,72.84017073,330,,3.678,435438217.3,4093.849585,,,38.65127243,40059,106364
Trinidad and Tobago,TTO,70.58885366,540,,1.766,23559224762,17321.78762,5169055,15391068461,69.19847061,675854,1360092
Tunisia,TUN,75.49704878,100730,,2.223,43156708809,3828.100633,681454561,30632339672,48.51983599,4061011,11273661
Turkey,TUR,75.40709756,385460,305338,2.072,859794177118,10984.77076,2323079468,519042584065,53.74497914,29709748,78271472
Turkmenistan,TKM,67.64104878,338380,,2.931,35799628571,6432.668768,,,14.99677482,2533009,5565284
Turks and Caicos Islands,TCA,,10,,,,,,,,,34339
Tuvalu,TUV,,18,24,,32673277.74,2970.027974,,,42.7,,11001
Uganda,UGA,59.5087561,144150,,5.682,27059447775,674.044972,7695449,20795554726,17.83485947,14698291,40144870
