wage,income,age,educ,public,tenure,experience,subordinates,otherjob,internet,trust,urban,region,sex
9000.0,9000,43,4.0,1.0,0.0,25.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
1200.0,5890,44,0.0,1.0,3.0,27.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
4000.0,4000,53,4.0,1.0,17.0,33.0,1,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
5000.0,5000,53,4.0,1.0,10.0,36.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
3500.0,3500,54,2.0,1.0,36.0,36.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
7000.0,7000,40,5.0,1.0,10.0,18.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
4000.0,4000,51,0.0,1.0,30.0,30.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
6500.0,6640,28,0.0,1.0,9.0,9.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
11000.0,11000,42,0.0,1.0,9.0,25.0,1,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
10000.0,15000,30,0.0,1.0,2.0,10.0,0,1,0,0,0,Центральный и Центрально-Черноземный экономический район,male
3200.0,3470,20,0.0,1.0,0.0,0.0,0,1,1,0,0,Центральный и Центрально-Черноземный экономический район,female
3600.0,3600,43,0.0,1.0,2.0,20.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
8000.0,8000,57,0.0,0.0,13.0,41.0,0,1,0,0,0,Центральный и Центрально-Черноземный экономический район,male
10000.0,10000,49,0.0,1.0,4.0,30.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,male
3400.0,3400,30,0.0,1.0,1.0,5.0,0,0,0,0,0,Центральный и Центрально-Черноземный экономический район,female
18000.0,18000,30,0.0,1.0,0.0,14.0,0,1,0,0,0,Центральный и Центрально-Черноземный экономический район,male
3500.0,6300,44,1.0,1.0,0.0,20.0,0,1,0,0,0,Центральный и Центрально-Черноземный экономический район,female
12000.0,12000,41,3.0,0.0,1.0,10.0,0,1,0,0,1,Волго-Вятский и Поволжский экономический район,female
4200.0,4200,46,0.0,1.0,6.0,25.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
12000.0,13200,42,5.0,1.0,13.0,25.0,1,0,1,0,1,Волго-Вятский и Поволжский экономический район,male
8300.0,8300,48,0.0,1.0,10.0,27.0,0,1,0,0,1,Восточный и Дальне-Восточный экономический район,female
7800.0,7900,42,2.0,1.0,9.0,26.0,1,0,1,0,1,Волго-Вятский и Поволжский экономический район,male
3700.0,3700,36,3.0,1.0,4.0,7.0,0,0,0,1,1,Волго-Вятский и Поволжский экономический район,female
25000.0,25500,47,5.0,0.0,2.0,20.0,1,1,1,0,1,Волго-Вятский и Поволжский экономический район,female
5000.0,8900,48,1.0,0.0,0.0,30.0,1,1,0,0,1,Волго-Вятский и Поволжский экономический район,male
15000.0,15000,48,0.0,0.0,1.0,28.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
3900.0,3900,20,0.0,0.0,1.0,1.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
4280.0,4280,44,2.0,1.0,4.0,24.0,0,1,0,0,1,Волго-Вятский и Поволжский экономический район,female
20000.0,20000,33,5.0,0.0,1.0,15.0,1,1,1,1,1,Волго-Вятский и Поволжский экономический район,female
15000.0,15000,34,0.0,0.0,1.0,15.0,0,1,1,0,1,Волго-Вятский и Поволжский экономический район,male
9000.0,9000,44,3.0,0.0,0.0,10.0,0,1,0,0,1,Восточный и Дальне-Восточный экономический район,female
7500.0,7500,21,5.0,0.0,0.0,1.0,0,0,1,0,1,Волго-Вятский и Поволжский экономический район,female
2000.0,2000,23,0.0,1.0,2.0,2.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
3000.0,3000,37,4.0,1.0,19.0,19.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
8000.0,8000,24,5.0,0.0,2.0,2.0,0,1,1,0,1,Восточный и Дальне-Восточный экономический район,female
25000.0,25000,26,5.0,0.0,7.0,6.0,1,0,1,0,1,Волго-Вятский и Поволжский экономический район,male
10000.0,10000,51,5.0,0.0,27.0,16.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
10000.0,10000,51,5.0,0.0,27.0,16.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
7000.0,7000,32,0.0,1.0,15.0,15.0,1,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
4200.0,4200,26,0.0,1.0,4.0,6.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
8500.0,8500,52,4.0,1.0,7.0,30.0,0,0,0,1,1,Волго-Вятский и Поволжский экономический район,female
5000.0,5000,50,4.0,1.0,28.0,30.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
10000.0,10000,59,0.0,0.0,8.0,38.0,1,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
6000.0,6000,45,2.0,1.0,1.0,20.0,0,0,0,1,1,Волго-Вятский и Поволжский экономический район,female
